                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1634,                   5.41,                 4.1377,                      0,                      0,                      0,                      0,                 2.9057,                 4.5856,                 3.9218,               0.070508,              0.0032768,              0.0032768
                      2,                 2.9173,                 5.0589,                 3.6166,                0.00036,                0.00351,                0.00025,                0.00014,                 2.9259,                 4.5194,                 3.6202,               0.040443,              0.0065447,              0.0065447
                      3,                  2.474,                 4.6395,                 3.0247,                 0.0798,                0.03697,                0.00086,                0.00019,                 3.0522,                    inf,                 4.3212,               0.010312,              0.0097466,              0.0097466
                      4,                 1.8961,                 4.1693,                 2.4895,                0.33598,                0.04454,                0.01703,                0.00765,                 2.1689,                 14.316,                 3.4485,               0.009703,               0.009703,               0.009703
                      5,                 1.6044,                 3.7609,                 2.1765,                0.49469,                0.12269,                0.05397,                0.02691,                  1.755,                 4.6585,                 2.5314,               0.009703,               0.009703,               0.009703
                      6,                 1.4418,                 3.5257,                 2.0128,                0.57231,                0.08852,                0.06282,                0.03401,                  1.685,                 4.2185,                 2.4453,               0.009604,               0.009604,               0.009604
                      7,                 1.3522,                 3.3367,                  1.917,                0.51718,                0.11208,                0.07417,                0.04782,                 1.4914,                 3.5541,                 2.1377,               0.009505,               0.009505,               0.009505
                      8,                 1.2969,                 3.1935,                 1.8514,                0.46647,                0.15895,                0.12093,                0.07425,                 1.3487,                 3.2107,                 1.9863,               0.009406,               0.009406,               0.009406
                      9,                 1.2512,                 3.0628,                 1.8014,                0.55265,                 0.1656,                0.13926,                0.08394,                 1.3303,                 3.1961,                 1.9517,               0.009307,               0.009307,               0.009307
                     10,                 1.2115,                 2.9745,                 1.7518,                0.47229,                0.16587,                0.14418,                0.08699,                 1.3353,                 3.1854,                 1.9543,               0.009208,               0.009208,               0.009208
                     11,                 1.1826,                 2.8843,                   1.72,                0.54213,                0.19292,                0.16739,                0.11175,                 1.2541,                  2.934,                 1.8609,               0.009109,               0.009109,               0.009109
                     12,                 1.1536,                 2.7901,                 1.6943,                0.56705,                0.20226,                0.19183,                0.12516,                 1.2524,                 2.7501,                 1.8212,                0.00901,                0.00901,                0.00901
                     13,                 1.1307,                 2.7254,                 1.6712,                0.48566,                0.23366,                0.19116,                0.13477,                 1.1585,                 2.7536,                 1.7203,               0.008911,               0.008911,               0.008911
                     14,                  1.099,                 2.6503,                 1.6388,                0.61047,                0.16858,                0.19372,                0.13302,                 1.1742,                 2.7846,                 1.7476,               0.008812,               0.008812,               0.008812
                     15,                 1.0802,                  2.591,                 1.6116,                  0.727,                0.19154,                0.21756,                  0.145,                 1.2377,                  2.809,                 1.7967,               0.008713,               0.008713,               0.008713
                     16,                 1.0642,                  2.539,                 1.6003,                0.66446,                0.20853,                 0.2329,                0.17033,                 1.0478,                 2.4558,                 1.6039,               0.008614,               0.008614,               0.008614
                     17,                 1.0427,                 2.4824,                 1.5771,                0.62838,                0.23335,                0.23522,                0.17201,                 1.0602,                 2.5125,                 1.6346,               0.008515,               0.008515,               0.008515
                     18,                  1.024,                 2.4543,                 1.5687,                0.49512,                0.25724,                0.24827,                0.17621,                 1.0805,                 2.4463,                   1.63,               0.008416,               0.008416,               0.008416
                     19,                 1.0128,                 2.3831,                 1.5499,                0.75068,                0.22116,                0.27215,                0.19647,                 1.0519,                 2.3867,                 1.6343,               0.008317,               0.008317,               0.008317
                     20,                0.99879,                 2.3459,                 1.5328,                0.67746,                0.25629,                0.26965,                0.19591,                 1.0468,                 2.3442,                 1.6064,               0.008218,               0.008218,               0.008218
                     21,                0.98564,                 2.3244,                 1.5224,                0.51679,                0.32494,                0.28651,                0.20616,                  1.018,                 2.2665,                 1.5455,               0.008119,               0.008119,               0.008119
                     22,                0.97729,                 2.2471,                 1.5164,                  0.673,                0.25605,                0.29894,                0.21347,                 1.0213,                 2.2288,                 1.5827,                0.00802,                0.00802,                0.00802
                     23,                0.96443,                 2.2073,                 1.5031,                0.55232,                0.28494,                0.28411,                0.21414,                 1.0027,                 2.3054,                 1.5544,               0.007921,               0.007921,               0.007921
                     24,                0.95879,                 2.1789,                 1.4906,                0.59861,                0.30835,                0.32289,                0.23718,                0.96025,                 2.1604,                 1.5048,               0.007822,               0.007822,               0.007822
                     25,                0.93933,                 2.1618,                 1.4817,                0.65002,                0.28847,                0.31407,                0.23061,                0.97103,                 2.2602,                 1.5308,               0.007723,               0.007723,               0.007723
                     26,                0.93044,                 2.1175,                 1.4726,                0.63208,                0.31743,                0.32837,                0.24338,                0.95831,                 2.1676,                 1.5099,               0.007624,               0.007624,               0.007624
                     27,                0.91565,                 2.0788,                 1.4615,                0.55572,                0.30753,                0.30986,                0.23726,                0.94751,                 2.1013,                 1.4947,               0.007525,               0.007525,               0.007525
                     28,                0.92728,                 2.0625,                 1.4667,                0.57036,                0.32481,                0.33726,                0.25831,                0.90944,                 2.0365,                 1.4443,               0.007426,               0.007426,               0.007426
                     29,                0.91454,                 2.0459,                 1.4526,                0.52176,                0.27614,                0.29791,                0.22426,                0.96632,                 2.2432,                 1.5053,               0.007327,               0.007327,               0.007327
                     30,                0.89814,                 1.9807,                 1.4407,                0.62571,                0.31425,                0.33842,                0.25595,                0.90152,                 1.9989,                 1.4379,               0.007228,               0.007228,               0.007228
                     31,                0.88799,                 1.9694,                 1.4314,                 0.5925,                0.34894,                0.37158,                0.28173,                0.92116,                 1.9717,                 1.4579,               0.007129,               0.007129,               0.007129
                     32,                0.88579,                 1.9428,                   1.43,                0.48358,                 0.3392,                0.34717,                0.26651,                0.90035,                 2.0066,                 1.4572,                0.00703,                0.00703,                0.00703
                     33,                0.87728,                 1.9111,                 1.4255,                0.54359,                0.33847,                0.34943,                 0.2694,                0.90577,                 1.9856,                  1.442,               0.006931,               0.006931,               0.006931
                     34,                0.86864,                 1.8902,                 1.4095,                0.60423,                0.34968,                0.37116,                0.28375,                0.87093,                  1.926,                 1.4118,               0.006832,               0.006832,               0.006832
                     35,                  0.854,                 1.8594,                 1.4076,                0.56082,                0.34336,                0.35721,                0.27717,                0.87094,                 1.9885,                 1.4185,               0.006733,               0.006733,               0.006733
                     36,                0.84563,                 1.8083,                 1.3927,                0.64447,                0.35118,                0.37508,                0.28841,                 0.8593,                 1.9015,                 1.4007,               0.006634,               0.006634,               0.006634
                     37,                0.83637,                 1.8157,                 1.3876,                0.75572,                0.29633,                0.36086,                0.27755,                0.87155,                 1.9374,                 1.3948,               0.006535,               0.006535,               0.006535
                     38,                0.84299,                 1.7755,                 1.3919,                0.51064,                0.39212,                0.37569,                0.29606,                0.82055,                  1.858,                  1.363,               0.006436,               0.006436,               0.006436
                     39,                0.82567,                 1.7456,                 1.3812,                0.60328,                0.35231,                0.37631,                0.28843,                0.85732,                 1.9144,                 1.3973,               0.006337,               0.006337,               0.006337
                     40,                0.82552,                 1.7413,                 1.3794,                0.58757,                0.35222,                0.38696,                0.30238,                0.81884,                 1.8308,                 1.3663,               0.006238,               0.006238,               0.006238
                     41,                 0.8134,                 1.7086,                 1.3653,                0.68536,                0.34344,                0.39993,                0.31669,                0.85262,                 1.7845,                 1.3887,               0.006139,               0.006139,               0.006139
                     42,                0.82538,                 1.6895,                 1.3713,                0.49387,                0.39455,                0.40415,                0.31575,                0.83886,                 1.8216,                 1.3776,                0.00604,                0.00604,                0.00604
                     43,                0.80956,                 1.6893,                 1.3586,                0.75237,                0.32368,                0.40626,                0.31862,                0.82237,                 1.7866,                 1.3642,               0.005941,               0.005941,               0.005941
                     44,                0.80738,                 1.6641,                 1.3584,                0.69359,                0.33848,                0.39545,                 0.3123,                 0.8208,                 1.8511,                 1.3564,               0.005842,               0.005842,               0.005842
                     45,                0.78967,                 1.6213,                 1.3368,                0.68093,                0.34516,                0.43096,                0.34038,                0.81552,                 1.7073,                   1.36,               0.005743,               0.005743,               0.005743
                     46,                0.79207,                 1.6526,                  1.345,                0.65137,                0.36573,                0.42232,                 0.3307,                0.80722,                 1.7224,                 1.3469,               0.005644,               0.005644,               0.005644
                     47,                0.78362,                 1.6043,                 1.3421,                0.47363,                0.45402,                0.46836,                0.36632,                0.80476,                 1.6728,                 1.3462,               0.005545,               0.005545,               0.005545
                     48,                0.77645,                 1.5459,                 1.3322,                0.58485,                0.40356,                0.42914,                0.33698,                0.80231,                 1.7195,                 1.3524,               0.005446,               0.005446,               0.005446
                     49,                0.77798,                 1.5755,                 1.3309,                0.61464,                0.39363,                0.42457,                0.32805,                0.80426,                 1.6669,                 1.3504,               0.005347,               0.005347,               0.005347
                     50,                0.76958,                 1.5333,                 1.3295,                0.66078,                0.35893,                0.42601,                0.34109,                0.77758,                 1.7054,                 1.3205,               0.005248,               0.005248,               0.005248
                     51,                0.77093,                 1.5254,                 1.3233,                0.64184,                0.39729,                0.43529,                0.34446,                0.79711,                 1.7209,                 1.3414,               0.005149,               0.005149,               0.005149
                     52,                0.75351,                  1.497,                 1.3099,                0.72203,                  0.359,                0.44008,                0.35398,                0.77513,                 1.6678,                 1.3138,                0.00505,                0.00505,                0.00505
                     53,                0.75526,                 1.4761,                 1.3116,                0.63319,                0.40607,                0.43002,                0.34285,                 0.7881,                 1.6757,                 1.3394,               0.004951,               0.004951,               0.004951
                     54,                0.74756,                 1.4869,                 1.3095,                0.68259,                0.40146,                0.45328,                0.36399,                0.78361,                 1.6126,                 1.3406,               0.004852,               0.004852,               0.004852
                     55,                0.74277,                 1.4433,                 1.3006,                 0.6562,                 0.4152,                0.45837,                0.36835,                0.76917,                 1.5652,                 1.3167,               0.004753,               0.004753,               0.004753
                     56,                0.73514,                 1.4321,                 1.2986,                 0.6452,                0.38161,                0.46186,                0.37278,                 0.7693,                 1.5686,                 1.3163,               0.004654,               0.004654,               0.004654
                     57,                0.72251,                 1.3961,                 1.2876,                0.66051,                0.38716,                0.44894,                0.35813,                0.77681,                 1.6367,                 1.3296,               0.004555,               0.004555,               0.004555
                     58,                0.72924,                 1.4138,                 1.2932,                0.60515,                0.42577,                  0.457,                0.36552,                0.77261,                 1.6058,                 1.3235,               0.004456,               0.004456,               0.004456
                     59,                 0.7227,                 1.3826,                 1.2847,                0.59148,                0.43387,                0.45893,                0.37065,                0.74223,                 1.5888,                  1.305,               0.004357,               0.004357,               0.004357
                     60,                0.71318,                 1.3457,                 1.2816,                0.68161,                0.36597,                0.43669,                0.35425,                0.76589,                 1.6045,                 1.3081,               0.004258,               0.004258,               0.004258
                     61,                0.70299,                 1.3391,                 1.2676,                0.62973,                0.42284,                0.47276,                0.38616,                0.74614,                 1.5801,                 1.3038,               0.004159,               0.004159,               0.004159
                     62,                0.71045,                 1.3431,                 1.2764,                  0.519,                0.45687,                0.45941,                0.37089,                0.75888,                 1.5617,                 1.3157,                0.00406,                0.00406,                0.00406
                     63,                0.70011,                 1.2977,                 1.2608,                0.66956,                0.42054,                0.46804,                0.38195,                0.74348,                 1.5445,                 1.2902,               0.003961,               0.003961,               0.003961
                     64,                0.69585,                  1.291,                 1.2587,                0.70307,                0.40589,                0.46406,                 0.3757,                 0.7642,                 1.5696,                 1.3193,               0.003862,               0.003862,               0.003862
                     65,                0.69935,                 1.2955,                 1.2636,                0.60515,                0.42499,                0.47006,                0.37467,                0.74641,                   1.57,                 1.2939,               0.003763,               0.003763,               0.003763
                     66,                0.68815,                 1.2802,                 1.2565,                0.56813,                 0.4307,                0.47028,                0.37578,                0.74606,                 1.5717,                 1.2966,               0.003664,               0.003664,               0.003664
                     67,                0.69118,                  1.261,                 1.2575,                0.54578,                0.46102,                0.47095,                0.38733,                0.72874,                 1.5463,                 1.2811,               0.003565,               0.003565,               0.003565
                     68,                0.67892,                 1.2504,                 1.2478,                0.64307,                0.44433,                0.48522,                0.39679,                0.73504,                 1.5067,                 1.2869,               0.003466,               0.003466,               0.003466
                     69,                0.67902,                  1.237,                 1.2457,                0.61341,                 0.4215,                0.46544,                 0.3829,                0.72513,                  1.554,                 1.2815,               0.003367,               0.003367,               0.003367
                     70,                0.67457,                 1.2281,                 1.2429,                0.55243,                0.46399,                0.48098,                0.38279,                0.73394,                 1.5336,                 1.2884,               0.003268,               0.003268,               0.003268
                     71,                0.66648,                 1.2107,                 1.2345,                  0.556,                0.44082,                0.47652,                0.39594,                0.73013,                 1.5263,                 1.2919,               0.003169,               0.003169,               0.003169
                     72,                0.66148,                 1.1864,                 1.2312,                0.51304,                0.47667,                0.48928,                0.39947,                0.70506,                 1.4541,                 1.2691,                0.00307,                0.00307,                0.00307
                     73,                 0.6658,                  1.196,                 1.2337,                0.64866,                0.44683,                0.47762,                0.39041,                0.72224,                 1.5011,                  1.274,               0.002971,               0.002971,               0.002971
                     74,                0.65863,                 1.1763,                 1.2286,                0.56262,                0.46725,                0.48435,                0.39812,                0.71803,                 1.5312,                 1.2788,               0.002872,               0.002872,               0.002872
                     75,                0.64357,                 1.1564,                 1.2208,                 0.7209,                0.41804,                0.47704,                0.39528,                0.71905,                 1.5153,                 1.2765,               0.002773,               0.002773,               0.002773
                     76,                 0.6501,                 1.1359,                 1.2243,                0.60621,                0.42226,                0.47975,                0.39596,                0.71249,                 1.5079,                 1.2774,               0.002674,               0.002674,               0.002674
                     77,                0.64375,                 1.1294,                 1.2174,                0.58393,                0.46892,                0.49561,                0.40372,                0.70661,                  1.468,                 1.2648,               0.002575,               0.002575,               0.002575
                     78,                0.63877,                  1.118,                 1.2151,                 0.5849,                0.47612,                0.49723,                0.40801,                0.71545,                 1.4514,                 1.2758,               0.002476,               0.002476,               0.002476
                     79,                0.63649,                 1.1152,                  1.217,                 0.5645,                0.49652,                0.49977,                0.40444,                  0.718,                 1.4529,                 1.2797,               0.002377,               0.002377,               0.002377
                     80,                0.62856,                 1.0941,                 1.2082,                0.63677,                0.45226,                0.51105,                0.42601,                0.69965,                 1.4547,                 1.2526,               0.002278,               0.002278,               0.002278
                     81,                 0.6241,                 1.0896,                 1.2018,                0.75207,                0.43088,                0.50339,                0.41332,                0.69855,                 1.4489,                 1.2671,               0.002179,               0.002179,               0.002179
                     82,                0.62277,                 1.0771,                 1.2039,                0.67163,                0.45004,                0.50101,                0.41308,                0.71655,                 1.4768,                 1.2849,                0.00208,                0.00208,                0.00208
                     83,                 0.6168,                 1.0523,                 1.1951,                0.65185,                0.44491,                0.51541,                0.42945,                0.69052,                 1.4481,                  1.258,               0.001981,               0.001981,               0.001981
                     84,                0.62497,                 1.0561,                 1.1982,                0.65081,                0.45749,                0.49975,                0.41115,                0.69277,                  1.445,                 1.2556,               0.001882,               0.001882,               0.001882
                     85,                0.60738,                 1.0336,                 1.1894,                0.58647,                0.46806,                0.49643,                0.41003,                0.69871,                 1.4639,                 1.2612,               0.001783,               0.001783,               0.001783
                     86,                0.60476,                 1.0218,                 1.1891,                 0.6988,                0.43922,                0.49412,                0.40226,                0.70354,                 1.4584,                 1.2696,               0.001684,               0.001684,               0.001684
                     87,                 0.5977,                 1.0046,                 1.1871,                0.64277,                0.42862,                 0.5026,                0.41391,                0.70368,                 1.4429,                  1.269,               0.001585,               0.001585,               0.001585
                     88,                0.60393,                 1.0028,                 1.1883,                0.62288,                0.44889,                 0.4932,                0.40541,                0.70565,                 1.4452,                 1.2677,               0.001486,               0.001486,               0.001486
                     89,                0.60481,                 1.0115,                 1.1875,                0.68745,                0.45881,                0.49904,                0.41254,                0.70095,                 1.4564,                 1.2695,               0.001387,               0.001387,               0.001387
                     90,                0.59165,                0.98739,                 1.1746,                0.63408,                0.47738,                0.51288,                 0.4265,                0.69047,                  1.435,                 1.2546,               0.001288,               0.001288,               0.001288
                     91,                0.59464,                0.97878,                 1.1771,                0.70014,                 0.4386,                0.52049,                0.42972,                0.70368,                 1.4688,                 1.2733,               0.001189,               0.001189,               0.001189
                     92,                 0.5945,                0.99448,                 1.1779,                0.65808,                0.45449,                0.51237,                0.42344,                0.69401,                 1.4425,                 1.2633,                0.00109,                0.00109,                0.00109
                     93,                0.58287,                0.96298,                 1.1702,                0.55356,                0.47223,                0.49104,                0.40364,                0.70009,                 1.4439,                 1.2723,               0.000991,               0.000991,               0.000991
                     94,                0.57917,                0.94721,                 1.1711,                0.64602,                0.45521,                0.49524,                0.40856,                0.69107,                 1.4343,                 1.2614,               0.000892,               0.000892,               0.000892
                     95,                0.58052,                0.94808,                 1.1692,                0.65862,                0.45512,                0.50724,                0.42051,                0.69223,                 1.4322,                 1.2591,               0.000793,               0.000793,               0.000793
                     96,                0.57498,                0.94932,                 1.1713,                0.72784,                0.42919,                0.50864,                0.41834,                0.69847,                 1.4377,                  1.273,               0.000694,               0.000694,               0.000694
                     97,                0.58092,                0.93937,                 1.1682,                0.67547,                0.45627,                0.50718,                0.41623,                0.69747,                 1.4047,                 1.2698,               0.000595,               0.000595,               0.000595
                     98,                0.57346,                0.92881,                 1.1661,                0.61937,                0.47445,                0.51371,                0.42639,                0.68908,                 1.4039,                 1.2639,               0.000496,               0.000496,               0.000496
                     99,                0.56051,                0.90951,                 1.1526,                0.58687,                0.47555,                0.50468,                0.41922,                0.68443,                 1.4198,                 1.2644,               0.000397,               0.000397,               0.000397
                    100,                 0.5706,                 0.9305,                 1.1646,                0.56423,                0.49831,                0.50616,                0.41889,                0.68638,                  1.415,                 1.2596,               0.000298,               0.000298,               0.000298
